user_id,month_year,financial_stress_level,financial_health_score,optimization_priority,needs_emergency_fund,overspending_restaurants,overspending_entertainment,overspending_subscriptions,high_debt_burden,insufficient_savings,housing_cost_too_high,lifestyle_inflation_detected,irregular_savings_pattern,has_adequate_emergency_fund,healthy_savings_rate,controlled_discretionary_spending,low_debt_burden,overall_financial_health,needs_optimization,optimization_urgency,top_3_problem_areas
1e925480-2cdc-4163-8902-441061f38483,2024-10,7,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2024-10,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2024-11,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2024-12,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-01,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-02,8,0,critical,True,False,False,False,True,True,False,True,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-03,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-04,9,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-05,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-06,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-07,9,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
1e925480-2cdc-4163-8902-441061f38483,2025-08,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-10,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-10,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-11,8,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2024-12,9,2,critical,True,True,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-01,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-02,9,2,critical,True,False,False,False,False,True,True,True,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-03,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-04,6,2,critical,True,False,False,False,False,True,True,True,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-05,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-06,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-07,10,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
f5b7ea8c-86a6-4c31-9821-9edad0757d01,2025-08,9,2,critical,True,False,False,False,False,True,True,False,False,False,False,True,True,critical,True,9,"['Needs Emergency Fund', 'Insufficient Savings', 'High Housing Cost']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-10,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-10,8,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-11,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2024-12,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-01,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-02,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-03,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-04,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-05,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-06,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-07,8,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2025-08,9,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2024-10,9,0,critical,True,True,True,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2024-10,10,0,critical,True,True,False,True,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2024-11,8,0,critical,True,True,True,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2024-12,10,0,critical,True,True,False,True,True,True,False,True,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-01,10,0,critical,True,True,True,True,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-02,9,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-03,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-04,10,0,critical,True,False,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-05,10,0,critical,True,True,True,True,True,True,False,True,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-06,10,0,critical,True,True,False,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-07,9,0,critical,True,True,True,True,True,True,False,True,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0fd47901-d782-4546-98d9-0066369672d1,2025-08,10,0,critical,True,True,True,False,True,True,False,False,False,False,False,True,False,critical,True,10,"['Needs Emergency Fund', 'High Debt Burden', 'Insufficient Savings']"
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-10,1,76,low,True,False,False,False,False,False,True,False,False,False,True,True,True,good,False,2,"['Needs Emergency Fund', 'High Housing Cost']"
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-10,3,76,low,True,False,False,False,False,False,True,False,False,False,True,True,True,good,False,2,"['Needs Emergency Fund', 'High Housing Cost']"
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-11,2,76,low,True,False,False,False,False,False,True,False,False,False,True,True,True,good,False,2,"['Needs Emergency Fund', 'High Housing Cost']"
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2024-12,1,76,low,True,False,False,False,False,False,True,False,False,False,True,True,True,good,False,2,"['Needs Emergency Fund', 'High Housing Cost']"
